timeStep,cellCode,xCell,yCell,resource1amount,resource2amount,prey1,prey2,prey1catches,prey2catches,predator1
0,0,0,0,10,10,1,0,0,0,0
0,1,0,1,10,10,1,1,0,0,0
0,2,0,2,10,10,2,0,0,0,0
0,3,0,3,10,10,1,1,0,0,0
0,4,1,0,10,10,0,0,0,0,0
0,5,1,1,10,10,0,2,0,0,0
0,6,1,2,10,10,0,1,0,0,0
0,7,1,3,10,10,0,2,0,0,0
0,8,2,0,10,10,0,2,0,0,0
0,9,2,1,10,10,0,1,0,0,0
0,10,2,2,10,10,0,0,0,0,0
0,11,2,3,10,10,0,0,0,0,0
0,12,3,0,10,10,1,0,0,0,0
0,13,3,1,10,10,1,0,0,0,0
0,14,3,2,10,10,1,0,0,0,0
0,15,3,3,10,10,2,0,0,0,0
