"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,0.2,1,1,1,3,500.566666666667,508,488.333333333333,501.3,515.666666666667,490.666666666667,-4.16037965447789e-05,0.0297981111665074,-0.0249570766486779,-0.00190561362208643,0.0299127239673039,-0.0351130816263643,495.717948717949,515.666666666667,475.666666666667,483.935897435897,501.333333333333,457.333333333333,7.43589743589744,11,3.66666666666667,0.0024259085630823,0.0803295398551063,-0.0650921005152729,0.00240342650578997,0.0579475040567711,-0.0488184450965987,0.0616394059267362,0.638888888888889,-0.387301587301587,0.32051282051282,1.33333333333333,0,1.52564102564103,3.66666666666667,0
0,0,0.4,1,1,1,10,503.85,509.7,499.2,502.44,509.4,489.4,0.000602395799253487,0.0201204369532326,-0.0170482962459181,0.00104908286714978,0.0320850838115396,-0.0199251444434492,491.15,501.1,484.1,469.426923076923,483.4,458.4,19.05,20.6,16,-0.000215979508938324,0.0340011976506404,-0.0248799876971405,0.000711853897159716,0.0290909312228118,-0.0221635516416647,0.0289160654829988,0.223686818324265,-0.106686640748253,1.01153846153846,1.6,0.4,2.28846153846154,3.1,1.6
0,0,0.5,1,1,1,18,502.411111111111,507.666666666667,496.666666666667,502.672222222222,507.388888888889,495.277777777778,0.000347873517939004,0.0167668231350479,-0.0108327481353787,0.00181644365284145,0.0152362235309621,-0.0127813032748904,488.974358974359,496.055555555556,481.333333333333,474.972222222222,487,465.444444444444,21.8205128205128,25.8333333333333,16.1666666666667,0.00106436773546775,0.0197202119520235,-0.0227345974306945,0.00197340458931523,0.0198035769694227,-0.0146452062188463,0.0181728930299774,0.17248549102219,-0.18411176000833,1.15811965811966,1.61111111111111,0.5,1.99786324786325,3,1.16666666666667
0,0,0.6,1,1,1,20,502.635,506.95,496.2,502.295,506.05,496.55,0.00136993448657744,0.0142024791067748,-0.0137747263449369,0.000418876446204179,0.0167938560197253,-0.0173360143917218,470.105769230769,476.8,467.1,430.061538461538,438.95,420.9,52.6038461538462,55.05,48,0.00104000668706006,0.0205331318446636,-0.00983001627812686,0.00203367309110856,0.0308035297820136,-0.0185576523672234,0.00909851838132793,0.0722117861650033,-0.038168492504136,2.31730769230769,3.25,1.85,4.23653846153846,5,3.55
0,0,0.7,1,1,1,20,503.62,507.45,498.9,502.26,509.7,496.85,-0.000223025799865574,0.00868779155519997,-0.0082122703704325,0.00206470713356377,0.0249392439526365,-0.0155881765692426,448.5,456.1,444.15,377.140384615385,390.75,367.8,79.1884615384615,84.35,74.75,0.000922601950037472,0.0192108924293189,-0.0145290121831134,0.00146237273050729,0.0321345854228456,-0.0252596768566713,0.00640942996760607,0.0632381703497973,-0.0402862797155165,3.325,4.2,2.4,5.57307692307692,6.5,4.9
0,0,0.8,1,1,1,20,502.435,505.8,498.7,502.895,512.1,498.7,0.000347471778946933,0.00775260459088812,-0.00324570428772016,0.000880345822569955,0.0185771593048333,-0.0194213763152381,435.907692307692,441.05,430.45,339.325,348.05,331.55,96.8076923076923,102.25,91.7,0.00169572467045444,0.0169150537210778,-0.0215472498099904,0.00126375863673274,0.0349163212938134,-0.0134573164657871,0.00486160379025039,0.0534297124776697,-0.0558626644785129,4.00192307692308,5.45,2.9,5.90384615384615,6.85,4.95
0,0,1,1,1,1,10,502.77,508.6,495.5,502.54,508.4,494.1,-0.000276581048037956,0.0107036412846651,-0.0249749700512011,0.0020370637834616,0.0185100403131684,-0.0126016493217342,415.826923076923,427.2,405,413.276923076923,419.6,403.7,119.230769230769,127.1,108.3,-0.000193579526548371,0.0288386314002584,-0.0195876723398658,0.00127139578295919,0.0338094872179309,-0.0220827148081532,0.00311411337429399,0.0890013277299324,-0.0389267879054157,4.84615384615385,6.3,3.6,4.60384615384615,5.8,3.4
0,1,0.4,1,1,1,19,502.073684210526,507.315789473684,498.105263157895,502.426315789474,508.052631578947,499.947368421053,-0.000210472218095621,0.0110078572107433,-0.0149045231826188,0.00206921546140472,0.0165297938988554,-0.0147907629306884,483.61943319838,489.052631578947,480.052631578947,446.682186234818,453.789473684211,440.105263157895,29.3178137651822,31.9473684210526,25.2631578947368,0.000821014218107527,0.0169477245456567,-0.0156065446464386,0.00129319660717568,0.0238976973713144,-0.0186095258124441,0.00821474275055307,0.123314099617324,-0.0898183874001479,1.36437246963563,1.84210526315789,0.894736842105263,3.48582995951417,4.10526315789474,2.63157894736842
0,1,0.5,1,1,1,17,501.964705882353,507.294117647059,494.647058823529,503.376470588235,507.411764705882,499.058823529412,0.0016093116822485,0.0183227679285971,-0.0145091000816244,0.00132048455567062,0.0138478536101593,-0.00782355131913092,484.755656108597,489.764705882353,478.529411764706,469.171945701358,476.764705882353,461.823529411765,27.5814479638009,29.2941176470588,24.5294117647059,0.00123752086079755,0.0176712713041933,-0.011249158471423,0.000124880430073681,0.0192303199103257,-0.0171365709113999,0.0370286446236322,0.151316307638986,-0.0722995414989976,1.38914027149321,1.70588235294118,0.941176470588235,2.26923076923077,3.17647058823529,1.11764705882353
0,1,0.6,1,1,1,20,502.805,509.65,496.55,503.46,507.55,496.8,0.00117782487378003,0.0203319922726422,-0.0146403830603381,0.00307167943041976,0.0186328057506292,-0.0074644578352051,464.509615384615,470.6,455.25,426.296153846154,431.7,418.8,56.5884615384615,59.7,53.95,0.00096360437651645,0.0256631657379174,-0.0206734886959167,-0.000189479977136826,0.0184957852282385,-0.0141203954268191,0.00857453293107092,0.0570482103628458,-0.0621079346296979,2.71923076923077,3.55,1.9,4.30192307692308,5,3.6
