"preyInit","repNb","threshold","period","pry1posStab","pry2posStab","prdPosStab","prey1popEqMean","prey1popEqICinf","prey1popEqICsup","prey2popEqMean","prey2popEqICinf","prey2popEqICsup","predatorPopEqMean","predatorPopEqICinf","predatorPopEqICsup"
10,3,10,5,87,84,0,74862,74747,74936,75293,75110,75490,0,0,0
100,3,10,5,69,69,0,74715.6666666667,74653,74830,74806.6666666667,74724,74876,0,0,0
1000,3,10,5,51,51,0,74924,74811,75052,75072.3333333333,74945,75138,0,0,0
