"pry1Cons","prdCtch","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"1","0.05",100,10,28719,28602,28824.2,28532,28435.2,28604.7,574.2,546,600.2,621,606.2,642,0,0,0,0,0,0,0,0,0,13.2957815924321,11.7548604361476,14.7792452404736,14.6189938824894,13.644026924429,15.5854149119458,0,0,0
"1","0.05",110,10,28369.2,28226.3,28497.3,28140.3,28019.4,28229.7,651,617.6,687.3,704.9,682.9,736,0,0,0,0,0,0,0,0,0,13.3273260196396,11.8868946054867,14.7767711874506,13.4407663042193,12.4374916880874,14.6018096816144,0,0,0
"1","0.05",120,10,28011.2,27847.6,28161.9,27712,27560.6,27811.5,736.9,705.7,770.9,800.8,777.9,832.2,0,0,0,0,0,0,0,0,0,13.3478851051693,11.5053949296417,14.972915399028,13.6534008742757,12.7934153890709,14.5096180444031,0,0,0
"1","0.05",130,10,27565.4,27380.7,27727.3,27226.2,27065.1,27352.7,828,790.9,875,910.4,880,952.1,0,0,0,0,0,0,0,0,0,12.2972847915042,11.1491032399964,13.448977232502,13.6530238690102,12.7151011593728,14.4981559475335,0,0,0
"1","0.05",140,10,27104.5,26895.8,27302.6,26708.8,26510,26854.5,944.1,908.5,983.7,1026,987.4,1076.5,0,0,0,0,0,0,0,0,0,14.1516732225246,12.7740605583718,15.3813742520259,12.6607106218211,11.6712551367806,13.557962280525,0,0,0
"1","0.05",150,10,26509.3,26329.6,26677.4,26115.3,25844.7,26305.9,1070.7,1030.7,1115.3,1162.8,1118.6,1217.5,0,0,0,0,0,0,0,0,0,13.4067006286507,12.4241910189234,14.4269092749587,13.3530052167769,12.3748733791287,14.4503907987841,0,0,0
"1","0.05",160,10,25920.7,25690.2,26114.4,25425.8,25163.5,25629.1,1212.9,1164.7,1262.1,1319.8,1272.8,1376.6,0,0,0,0,0,0,0,0,0,13.3020105964756,12.5798956257321,13.9757123684202,13.5418748682942,12.7780677228164,14.2791322750999,0,0,0
"1","0.05",170,10,25191.4,24932.4,25422.5,24679.1,24423.1,24884.6,1376.4,1324.7,1440.9,1495.6,1438.4,1562.4,0,0,0,0,0,0,0,0,0,13.4621681623431,12.5351964808823,14.4549124062369,13.3041439097659,12.6426012304978,13.9627526040019,0,0,0
"1","0.05",180,10,24391.3,24070.2,24650.9,23752.7,23394.9,24026,1554.5,1490.9,1617.5,1695.9,1643.7,1760.4,0,0,0,0,0,0,0,0,0,12.9626427780615,12.1842819538314,13.7893107187711,13.4652829319019,12.6769734474318,14.203033931495,0,0,0
"1","0.05",190,10,23473,23181.1,23763.7,22765.4,22393,23034.7,1762.2,1701.2,1826.9,1915.2,1853.1,1981.8,0,0,0,0,0,0,0,0,0,13.4345099450775,12.4121455367761,14.3350305834116,12.9340001565663,12.5744498646391,13.2602381074908,0,0,0
"1","0.05",200,10,22428.8,22064,22756.5,21646.9,21269,21920.8,2000.3,1924.2,2071.5,2177,2109.5,2266.6,0,0,0,0,0,0,0,0,0,13.4924041849736,12.8736652801995,14.0326221868668,13.6606541591589,12.8931617888067,14.3806819864809,0,0,0
"1","0.05",210,10,21246.6,20880.8,21570.1,20406.3,19921.9,20743.8,2267.6,2189,2353,2448.5,2368.7,2556.3,0.9,0.5,1.3,1,0.5,1.5,20,19.1,21.1,13.3738028898363,12.9632220145283,13.763760579964,12.4384266869134,11.9401117413236,12.9185564070953,0,0,0
"1","0.05",220,10,19941.8,19537.1,20298.1,19054.7,18482.2,19444.7,2555.4,2468.7,2655.9,2779.7,2689.1,2897.2,0.6,0.1,1.1,1,0.5,1.5,18.5,16.8,20.2,12.7130225041293,12.1835229888041,13.1893952455051,13.5375859906438,13.0666017902592,13.9992100687844,-7.52194881142249,-14.6535277587909,-0.60568086883876
"1","0.05",230,10,18492.5,17985.7,18928.8,17371.4,16751.6,17838.7,2887.3,2799.6,2985.7,3136.5,3034.6,3265.6,1.2,0.5,2,1.2,0.6,1.9,18,16,19.8,13.0202944735407,12.2572576452553,13.6792497265674,12.8416568849648,12.6209670164141,13.0785736466863,-2.25467300157703,-10.7944828649163,5.51972623180053
"1","0.05",240,10,16869.1,16363.7,17319.5,15644.5,14987.9,16132.2,3264.4,3157.2,3384.9,3531.3,3411.8,3690.5,0.9,0.1,2,0.9,0.5,1.3,16.2,13.5,18.7,13.0356990868302,12.3846563822408,13.6853399248547,12.5898413301665,12.2308268495709,12.9111248973545,-10.7567208893767,-18.3562948620157,-3.72250639386189
"1","0.05",250,10,15072.1,14526.5,15540.9,13786,12985.8,14353.5,3671.3,3554.2,3797.3,3982.9,3854.1,4154.1,1,0.5,1.5,0.9,0.4,1.5,15.3,12,17.9,12.4843747402346,12.0108785283987,12.8877027354224,12.8125375759509,12.3450037845484,13.2529745487604,-6.45482660614239,-18.6182881446039,3.99567464699044
"1","0.05",260,10,13109,12502,13686.7,11680.9,10967.9,12287,4118.7,3969,4268.1,4447.9,4301.3,4610.7,0.6,0.2,1,0.4,0,0.8,14.7,11.2,18.2,12.1698246865438,11.8593598578455,12.5173633421725,11.6908718575289,11.2863280246601,12.1251086693022,-7.06337535014005,-16.4443277310924,2.31547619047619
"1","0.05",270,10,11116.1,10410.6,11758.8,9677.4,9057.5,10264.8,4602.1,4456.9,4744.1,4945.3,4817.5,5101.4,0.3,0,0.6,0.4,0.1,0.7,14.4,10.2,18.6,11.7751573337121,11.1895411539115,12.3462078146793,11.2382370241931,10.3683894360238,11.9754753187432,-5.98026315789474,-18.4811307113939,5.50737420474263
"1","0.05",280,10,9052,8428,9615.1,7658,7096.4,8087,5076.5,4947.8,5223.7,5420.4,5297.4,5564,0.4,0,0.8,0.7,0.2,1.2,14.2,10.3,17.7,10.3573774914623,9.73460537984775,10.9649790564651,9.65669398202325,8.91329640478181,10.3009377481097,3.27030485854015,-6.85556926733397,12.7948717948718
"1","0.05",290,10,7161.9,6674.2,7602,5940.9,5511.4,6321.1,5530.8,5415.2,5641.7,5824.7,5726.7,5930.1,0.8,0.4,1.3,0.5,0.1,0.9,14.1,9.9,17.9,8.993610159915,8.19637622134572,9.64336481555663,7.49632123434316,6.7909067772738,8.13833486533182,-3.71123594365281,-16.0845410628019,8.47233893557424
"1","0.05",300,10,5593,5124.5,6039.4,4664.1,4335,4937.8,5929.5,5826.5,6038.2,6170,6095.6,6258.7,0.9,0.4,1.4,0.6,0.2,1,14,9.2,18.4,7.22893656371197,6.74369586350582,7.7122886585648,5.95692892456104,5.25115714700451,6.62944876071114,-1.72593355403962,-10.8656493593901,6.70328527307934
"1","0.05",310,10,4340.8,4052.5,4639.9,3752,3503.1,3955,6243.6,6159.9,6333.2,6366.2,6318.1,6413.4,0.2,0,0.4,0.4,0.1,0.7,12.7,8.8,16.5,5.32559057381898,4.56156558663197,6.03268403448104,3.20169378681738,2.38485693632911,3.8401015426349,-8.00503663003662,-22.7486263736264,7.23626373626374
"1","0.05",320,10,3523.6,3236.6,3743.2,3193.7,3077.4,3350.4,6437.1,6370.7,6498,6528.6,6483.5,6565.4,0.4,0.1,0.7,0.4,0,1.2,11.7,7.5,15.7,3.11671781062481,2.42749528160967,3.71204523163795,2.55726242538236,1.99905034117392,3.15135211939372,-10.4234360410831,-23.452380952381,1.21148459383753
"1","0.05",330,10,2977.6,2815.4,3120.9,2848.9,2701.5,2966.8,6580.8,6529.7,6631.9,6616.3,6584.4,6650.4,0.7,0.2,1.2,0.8,0.3,1.4,12.1,8,16.1,2.24084727096543,1.70694044405745,2.75635385271059,1.34735567170602,0.926093025808706,1.77157367011267,15.2802460697198,-2.20779220779221,37.0984278879016
"1","0.05",340,10,2805.8,2670.7,2926.5,2663.1,2539.7,2775.3,6614.3,6588.8,6642.6,6632.7,6596.8,6671.1,0.5,0.1,0.9,0.6,0.2,1,11.1,7.6,14.6,0.51739382989109,0.0838654371659551,0.956482272086144,0.248534722949748,-0.0883483916289597,0.580093023231219,-11.3030851998243,-34.2614185331577,6.29292929292928
"1","0.05",350,10,2634.4,2569.1,2686.1,2606.1,2465.5,2732.8,6641.4,6626.5,6654.1,6638,6606,6671,0.5,0.2,0.8,0.8,0.2,1.5,10.4,6.4,14.4,0.413618831350596,-0.0178738996647493,0.826766358989955,0.0846655372319316,-0.438067540428259,0.644814830068099,-5.76388888888888,-18.3333333333333,5.68055555555556
