"pry1cons","prdCtchProb1","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"20","0.1",400,10,6633.6,6434.2,6839,6537.8,6224.6,6897.2,348.2,341,355.5,345,337,353.2,0.1,0,0.3,0.2,0,0.6,3.5,0.4,8.1,1.94455873626685,0.172356159754128,3.58299438296623,-0.954449954394419,-4.20421502175678,2.06348016001483,-21.9649122807018,-37.6315789473684,-7.66666666666666
"20","0.1",410,10,6351.7,6052.7,6615.4,6581.6,6220.2,6945.1,343.1,335,352.2,348.3,338.9,356.6,0.1,0,0.3,0.2,0,0.5,3.7,0.5,7.8,-1.38660497482064,-4.07656025728602,1.36399030128676,1.03998094622274,-1.72554473885338,3.84088635842252,1.25,0,3.75
"20","0.1",420,10,6736.8,6283.7,7129,6365.2,5992.4,6845.6,345.2,342.1,348,354,344,364,0,0,0,0.1,0,0.3,3.5,0.3,8,0.752323055514014,-1.53981806339296,2.74132304689622,1.79022191188652,-2.00771131784641,5.09756342318868,-11.031746031746,-32.1428571428571,2.22222222222222
"20","0.1",430,10,6578.4,6320.8,6801.7,6144.4,5659.1,6583,346.6,341.3,351,353.6,346.8,361.2,0.1,0,0.3,0.4,0,0.8,2.9,0.2,6.4,0.426936623539703,-1.31175617987412,1.92874766479481,0.022872252415271,-2.68207676382409,2.47806656484686,7.40909090909091,-30,58.3181818181818
"20","0.1",440,10,6436.2,6285.4,6596.6,6348.9,6131.9,6558.7,351.9,347.5,356,349.5,343,356.5,0.1,0,0.3,0.2,0,0.6,2.7,0,5.6,1.54277676379834,0.743755094967774,2.35792641609225,-0.996498749110817,-4.26082304473497,2.51219210688495,-8.26923076923077,-31.6666666666667,6.66666666666666
"20","0.1",450,10,6204.6,6049.8,6357.5,6555.2,6365.1,6748.1,352.1,345.7,360,347.4,338.9,355.4,0,0,0,0.1,0,0.3,2.7,0,5.2,0.114412463550942,-2.3525922247119,3.07956696727732,-0.492029630227327,-3.95261809067175,2.69306003799786,3.33333333333333,-5.00000000000001,15
"20","0.1",460,10,6245,5874.3,6591.6,6527.5,6197.2,6869.4,349.3,343,355.3,340.7,332.1,349.4,0,0,0,0.4,0,0.8,2.8,0.6,5.6,-0.72222841846149,-2.97750943811026,1.51697652477766,-1.8013780055501,-5.03813810031667,1.37005613210775,4.33333333333333,-12,25
"20","0.1",470,10,6384.1,6068.1,6699.7,6693.7,6293.9,7023.4,348,340.5,355,347,339.4,354.4,0.1,0,0.3,0,0,0,2.4,0.6,4.8,-0.328193844483732,-2.30068371350145,1.82761429144083,1.98694484023086,-0.88463458975844,5.19582635845234,-3.63636363636364,-13.6363636363637,1.81818181818182
"20","0.1",480,10,6431,6177.8,6682.6,6488.5,6148.9,6873.4,351.9,345.7,358.4,347.6,343.6,351,0.1,0,0.3,0.1,0,0.3,3,0,6.2,1.25209718011995,-1.44362611316109,4.20368545913849,0.254024441461118,-1.42746374186001,1.77432771499706,10.8333333333333,-1.66666666666667,31.6666666666667
"20","0.1",490,10,6339.8,6057.4,6650.5,6334.2,6168.7,6508.4,345.3,339.8,350.5,344.6,337.9,351.4,0.2,0,0.6,0.1,0,0.3,3.1,0,6.2,-1.81872188043567,-3.56678919495711,0.211259164248414,-0.822764716662839,-3.03836092622693,1.9787102756301,1.94805194805195,-2.72727272727273,8.57142857142858
"20","0.1",500,10,6606.4,6380.8,6882.8,6280.4,5994.2,6582,343,334.6,351.1,354.2,348,359.9,0,0,0,0.2,0,0.5,3.1,0,6.5,-0.558827520447322,-3.83463765009127,2.95595769754889,2.8456312487771,0.933903867423143,4.58104271352548,-0.166666666666667,-3,2.5
"20","0.1",510,10,6474.3,6165,6759.9,6061.3,5814.5,6317.1,343.1,333.3,350.2,354.4,345.9,361.8,0,0,0,0.2,0,0.6,3.2,0.8,6.4,0.200805133139156,-3.5693007730461,3.92347463288239,0.105471272304317,-2.26379712287429,2.44244266534842,1.45299145299145,-4.1025641025641,8.88888888888888
"20","0.1",520,10,6492.2,6149.6,6950.2,6106.8,5846.5,6344.2,345.9,333.6,356.9,350.8,343.1,357.9,0.3,0,0.7,0,0,0,2.8,0,5.6,0.946912116168487,-3.07015718187933,4.6217045689774,-0.899387118175106,-3.51703584501603,2.19166746347747,-3.75,-8.75,0
"20","0.1",530,10,6533.6,6093.2,7048.6,6378.7,6073.3,6696.2,349.7,344.8,354.1,344.7,339.4,350.3,0,0,0,0.2,0,0.5,2.9,0,5.9,1.3939375802471,-1.98640388115811,5.47425496594975,-1.63606396162154,-4.00215611008415,0.873098172397429,2.61904761904762,-5.00000000000001,12.8571428571429
"20","0.1",540,10,6283.2,6000,6549.4,6406.2,6147.5,6703.9,352,343.7,359.8,344.7,339.2,350.5,0.3,0,0.8,0,0,0,3.1,0,6.2,0.647443117571419,-1.06231807299985,2.36345522956389,0.0616035985927201,-2.6549245192148,2.38958199471693,2,0,6
"20","0.1",550,10,6258.4,5919.6,6638.2,6698.2,6479.5,6925.4,345.3,338.4,352.3,350.5,342.5,358.8,0.1,0,0.3,0.1,0,0.3,3.5,0,7,-1.82782986828635,-3.91097978191281,0.154115187685783,1.72407975231806,-0.799748425993444,4.17632139568117,4.38888888888889,-5.16666666666667,16.6666666666667
"20","0.1",560,10,6386.1,5900.9,6921.5,6372,6074.5,6658.5,352.4,345.4,359.6,347.3,339.6,354.9,0,0,0,0.1,0,0.3,3.8,0,7.7,2.08692571136713,0.707220735222881,3.39586166354982,-0.791968481792075,-3.44924158792199,1.96440479122542,3.80494505494506,-1.42857142857143,11.3049450549451
"20","0.1",570,10,6473.3,6206.4,6784.4,6605.4,6324.6,6852.5,344,337.1,350.4,347.1,339.8,354.1,0.2,0,0.6,0.2,0,0.5,4.3,0,8.7,-2.30552847615918,-4.44609329610568,0.090444900052617,0.089186365050109,-2.89871023269634,4.08178382574957,4.66033966033965,-9.39560439560441,21.2337662337662
