"timeStep","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,160,160,160,160,160,160,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,121.333333333333,120,122,121.333333333333,120,122,14.3333333333333,14,15,15.3333333333333,14,17,0,0,0,0,0,0,0,0,0,43.3333333333333,40,50,53.3333333333333,40,63.3333333333333,0,0,0
6,109.333333333333,104,114,106.666666666667,104,110,21,20,22,23.6666666666667,23,24,0,0,0,0,0,0,0,0,0,46.5079365079365,42.8571428571429,50,55.31279178338,41.1764705882353,71.4285714285714,0,0,0
9,86,84,88,84,72,100,32.6666666666667,29,35,35.3333333333333,34,37,0,0,0,0,0,0,0,0,0,55.3318903318903,45,61.9047619047619,49.2753623188406,45.8333333333333,54.1666666666667,0,0,0
