"timeStep","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,160,160,160,160,160,160,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,92.6666666666667,86,106,90.6666666666667,84,94.6666666666667,28.3333333333333,26,31,30.6666666666667,30,32,0,0,0,0,0,0,0,0,0,41.6666666666667,30,55,53.3333333333333,50,60,0,0,0
6,74,60,84,65.3333333333333,60,72,42,37,48,42.3333333333333,40,44,0,0,0,0,0,0,0,0,0,47.8583244712277,42.3076923076923,54.8387096774194,38.125,33.3333333333333,46.6666666666667,0,0,0
9,55.3333333333333,48,60,56,48,62,58,51,67,60,55,64,0,0,0,0,0,0,0,0,0,38.0021790082765,36.5853658536585,39.5833333333333,41.7265680056378,27.906976744186,52.2727272727273,0,0,0
