"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1extFreq","prey2extFreq","prey1extFreq.1","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,0,1,1,1,1,10,0,0,0,502.77,508.6,495.5,502.54,508.4,494.1,-0.000276581048037956,0.0107036412846651,-0.0249749700512011,0.0020370637834616,0.0185100403131684,-0.0126016493217342,415.826923076923,427.2,405,413.276923076923,419.6,403.7,119.230769230769,127.1,108.3,-0.000193579526548371,0.0288386314002584,-0.0195876723398658,0.00127139578295919,0.0338094872179309,-0.0220827148081532,0.00311411337429399,0.0890013277299324,-0.0389267879054157,4.84615384615385,6.3,3.6,4.60384615384615,5.8,3.4
0,0,1,1,10,1,20,0,0,0,502.365,509.35,495.7,595.48,635.05,562.8,0.000565607579547152,0.0158815936494266,-0.0163181183510935,0.0703259536772657,0.185703360682229,-0.0638410940211089,331.280769230769,344.2,312.6,550.373076923077,581.55,513.45,186.894230769231,197.55,177.6,0.00302821947279151,0.035141475269166,-0.0344202241890673,0.0379469120558985,0.152837113173074,-0.0976343491159257,0.00296168713293887,0.0389159194276694,-0.0321783787179292,6,7.05,5.15,8.81153846153846,10.2,7.6
0,0,1,1,2,1,20,0,0,0,502.675,508.55,498.6,521.725,530.75,515.1,0.000634015846251501,0.0120910652986007,-0.0136040194404171,0.00200676424118232,0.0295900111199871,-0.0173124939177003,387.605769230769,400.3,379.15,444.936538461538,458.6,433.75,142.967307692308,150.75,137.25,0.000434575647304807,0.0178257279411121,-0.018450333142347,0.00143769361318725,0.0296208276590944,-0.0347029137354639,0.00520903243007923,0.0396330983926966,-0.0260357278941265,5.44230769230769,6.3,4.6,5.97307692307692,6.8,4.4
0,0,1,1,3,1,20,0,0,0,503.745,508.9,499.2,535.615,541.95,527,0.00243386836466347,0.0145800994034941,-0.00590120862840115,0.000171965197569983,0.0202573488416081,-0.0239775210682942,373.157692307692,383.7,362.8,470.457692307692,480.05,458.55,157.634615384615,163.75,150.05,0.000416818977542857,0.0269345258420388,-0.0232822410179412,0.00326866204115105,0.0373466055756851,-0.03782387086806,0.004927528085817,0.0329174667375188,-0.0256448685528142,5.70961538461538,6.75,4.85,6.58653846153846,7.8,5.3
0,0,1,1,4,1,20,0,0,0,502.695,507.6,493.35,549.505,563.15,537.1,0.00105076585563926,0.0248044769427678,-0.0135340983598424,0.0034772372748465,0.0472586145736595,-0.037959201394586,364.434615384615,378.35,352.35,489.919230769231,502.35,480,162.588461538462,170.35,154.2,0.0016326732282424,0.0205321385252251,-0.0225031925218808,0.00377078929497091,0.0408460588942492,-0.0339956744650124,0.00499844297795001,0.0371363656505495,-0.0437514277471945,5.72115384615385,6.65,4.75,7.34807692307692,8.4,6.3
0,0,1,1,5,1,20,0,0,0,501.55,507.3,497.65,560.225,572.3,543.85,0.000796659426037068,0.0171556696307432,-0.0106988544432882,0.00825314980029749,0.0429068745686249,-0.0412537170822175,355.857692307692,367,342.4,504.019230769231,518.8,485.45,171.355769230769,176.15,166.5,0.00224690583216991,0.0208813922236745,-0.0203939154392334,0.00922473218474326,0.0730721342211515,-0.0347000720583609,0.00218259291539277,0.0365187553635652,-0.0257996080923911,5.98461538461538,7.15,5,7.38269230769231,8.25,6.65
0,0,1,1,6,1,20,0,0,0,502.46,509.25,496.2,569.715,585.8,550.45,0.000882569968678126,0.0216448216751115,-0.0110217418634189,0.0171920520261918,0.0777463799122437,-0.0444661318793571,344.688461538462,356.65,330.35,516.142307692308,532.2,491.55,178.101923076923,188.55,168.6,0.0015815693171205,0.0260611894581108,-0.0234124315681204,0.00850397067539037,0.0769450730299665,-0.0650157356022662,0.00292367040349951,0.0457842805889421,-0.0400716493380608,5.92115384615385,6.85,4.95,7.88846153846154,9.15,6.3
0,0,1,1,7,1,20,0,0,0,502.435,507.45,499.1,575.185,622.25,534.85,0.000955007033187261,0.0161703073878723,-0.0158277861373204,0.0248337863769473,0.181425672023172,-0.0924972124897714,339.390384615385,347.25,330.1,524.973076923077,539.85,509.35,182.896153846154,188.95,176.5,0.00205537417975271,0.0255612773554942,-0.0288092528747416,0.0190031578066973,0.0700754053659397,-0.0253302014357061,0.00217717266391058,0.0313920991337828,-0.0266306239797402,5.925,6.85,4.65,8.34423076923077,9.1,6.9
0,0,1,1,8,1,20,0,0,0,503.525,509.8,498.85,580.925,614.35,546.7,0.000460543560649258,0.0134179028937037,-0.0191401250889277,0.0195779367194562,0.139574110819527,-0.0805033142820325,336.444230769231,344.1,326.35,535.190384615385,563,507.05,181.815384615385,191.15,173.95,0.00176192659394364,0.0299337892254519,-0.0189337974231512,0.0250221177554461,0.12802013191868,-0.0702579075402831,0.00348871320589664,0.0444472577309219,-0.0252584558328635,6.13461538461539,7.4,4.85,8.40192307692308,9.5,7.2
0,0,1,1,9,1,20,0,0,0,501.505,506.5,494.35,586.225,622.7,542.85,0.000779535052690945,0.0188056957402929,-0.0152069202189226,0.0448713792461426,0.154501219291941,-0.096064423461414,338.090384615385,344.95,331.15,544.55,581.1,496,184.769230769231,190.8,180.55,0.00155025298153959,0.0197437793882886,-0.0292195460264969,0.0331852470370541,0.204654125581894,-0.0901761027899145,0.00452278409369119,0.0359644679497452,-0.0237168756058323,5.84807692307692,7.2,4.75,8.43076923076923,9.8,6.75
